title,price,description,main_image,images
استپر موتور بورگ جرمنی مدل 2003 مناسب برای پژو 405,800000,,"https://dkstatics-public.digikala.com/digikala-products/3812510.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/3812514.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3812515.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3812516.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3812518.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور کروز + کد CR39079601 مناسب برای پژو 405,650000,شرکت کروز به عنوان بزرگترین شرکت تولید کننده قطعات خودرو در کشور و تامین کننده اصلی خطوط تولید شرکت های ایران خودرو و سایپا (OEM)، به منظور خدمات رسانی بیشتر و رفع نیاز های مشتریان و مصرف کنندگان محترمی که به هر دلیل نیازمند قطعات تولیدی این شرکت میباشند اقدام به عرضه تولیدات خود به بازار را نموده است.آنچه که در تفکر مدیران ارشد این مجموعه در طول 35 سال فعالیت تولیدی افتخار آمیز در عرصه خودرو قرار داشته و دارد، کسب رضایتمندی هر چه بیشتر مشتریان عزیز از طریق ارایه محصولات با بهترین کیفیت و قیمت مناسب میباشد. استپر موتور کروز مناسب برای موتورهای TU5 و EF7 و خودروهای پژو 405، پژو پارس، پژو 206، سمند و سمند سورن که دارای موتورهای مذکور می باشد، است.,"https://dkstatics-public.digikala.com/digikala-products/663e542031f7a8f708ab928182ec3e6f65571d34_1624954952.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/188d171aac7693bbccca56fc4fedb5a2b1df6be1_1624954949.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7fa1fc874c8fc49c2eeeb2e26d06593f197d78f0_1624954950.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a83d499d0e8a41893cc734297a0f0afba678284f_1624954951.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c2df6fba0deb55efbf443097496d83c45f456c14_1624954953.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e09cad8337ae06a2c89d0de7e7088449e76fc18c_1624954954.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/15da6aa84d6f5411210bf94549577f8dbc09dbcb_1624954955.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور زیمنس مدل 2PRA132 مناسب برای پراید,395000,,"https://dkstatics-public.digikala.com/digikala-products/113843649.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/113843709.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/113843725.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/113843649.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور زیمنس مدل DENAA01 مناسب برای پژو 405,399000,,"https://dkstatics-public.digikala.com/digikala-products/056353081d459920f6dc3ef2b294cd84556ecfa3_1673173985.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/719084906151837712bb778b63274ffc77245f6a_1673173984.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/056353081d459920f6dc3ef2b294cd84556ecfa3_1673173985.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور عظام کد 1002 مناسب برای پراید,920790,استپرموتور پیکان و پراید یکی از قطعات جانبی موتور خودرو در زمینه تولید گشتاور می باشد که وظیفه کنترل و تنظیم دور موتور را بر عهده دارد. در این قطعه با اطلاعاتی که از ECU خودرو دریافت میکند و دور موتور خودرو را طبق اطلاعات دریافت شده تنظیم میکند.,"https://dkstatics-public.digikala.com/digikala-products/2a954f7697af4c9be4b0eeaaeb458f945b867d57_1632134476.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/8bba0ebc942120fabeb552e3cf05c54dd77d9356_1631703679.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/0328004adabfbe1b6fbf1d097231e172c8ff71a1_1631703680.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور دریچه گاز کروز پلاس مدل 601 مناسب خودرو پراید,680000,,"https://dkstatics-public.digikala.com/digikala-products/17cb44e45027a27e5175315f6d4eac74529093c7_1714041021.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/ff89c86d7eb8a1db68d1cce9fc6e1e5386f76962_1714041049.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/17cb44e45027a27e5175315f6d4eac74529093c7_1714041021.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور مدل 2023 مناسب برای پراید,63000,,"https://dkstatics-public.digikala.com/digikala-products/b9a66fec6d59ba94823b185dd09bad8922abd0a0_1698152558.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/67a8f4b354b6af70b4fae2ec54fe9354b845c939_1698152559.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/537cd9e98882a4c60797dad921c61b50315bc430_1698152559.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/b9a66fec6d59ba94823b185dd09bad8922abd0a0_1698152558.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور دریچه گاز کروز پلاس مدل 601 مناسب برای TU5,680000,,"https://dkstatics-public.digikala.com/digikala-products/17cb44e45027a27e5175315f6d4eac74529093c7_1714039845.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/ff89c86d7eb8a1db68d1cce9fc6e1e5386f76962_1714065276.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور ایران کاربراتور مدل R658,1569500,,"https://dkstatics-public.digikala.com/digikala-products/ae4c55dc426f3eb9c16f03d45e5885a1fc2540e5_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5fa4aaa23527e9a3927a39018e964467999a6da5_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/110358630.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bb63505057062437d803e8ecd323aea2a523147f_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/ae4c55dc426f3eb9c16f03d45e5885a1fc2540e5_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
استپر موتور ایساکو کد 0617 مناسب برای 405 و سمند,349000,,"https://dkstatics-public.digikala.com/digikala-products/63de19a412ff3e9ff6cf53284e3587b4b838860a_1701123534.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/111623317.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/111623318.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/39eacda7b36d1196bbc1f9188f019a6310a35f55_1701123534.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/63de19a412ff3e9ff6cf53284e3587b4b838860a_1701123534.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
