title,price,description,main_image,images
سنسور اکسیژن ان تی کی مدل ساژم مناسب برای 206,1260000,سنسور اکسیژن ان تی کی معروفترین سنسور موجود در بازار لوازم خودرو می باشد و کیفیت کالا در صورت خریدن کالای اصلی دارای گرید A می باشد.یکی از نکات مهم زمان خرید این کالا انتخاب درست و مناسب کالا متناسب با ECU خودروی شما می باشد.,"https://dkstatics-public.digikala.com/digikala-products/356f61309cd7142d92ecbd06709940f9183f9af2_1724762872.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/382c2239cde72419501c0bd7cd5355a9b1b0b3d0_1724758105.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', '/statics/img/png/voucher/discount-voucher.webp']"
سنسور اکسیژن ان تی کی کد 1852 مناسب برای پژو 206 تیپ 2,1550000,سنسور اکسیژن ان تی کی (NTK) اصل کشور ژاپن می باشد. و دارای شماره فنی : 1852 است. و برای خودروی 206 تیپ 2 مناسب می باشد. سنسور اکسیژن قطعه حساس و بسیار کاربردی در خودروهای انژکتوری می باشد. وظیفه این قطعه اندازه گیری میزان اکسیژن خروجی در مسیر اگزوز و کاتالیزور می باشد. اگر حساسیت این قطعه دقیق نباشد. یعنی به عبارتی اصلی نباشد. صدمات جدی به سیستم انژکتور وارد خواهد شد. چرا که در میزان اندازه گیری خطا وجود خواهد داشت. و اطلاعات خطا دار به ای سی یو می فرستد. ای سی یو بر اساس این اطلاعات دستور تزریق سوخت اضافی یا کمتر خواهد داد. و این میزان خطا بر روی تمامی قطعات دیگر اثر منفی خواهد داشت. از جمله ویژگی های مهم در انتخاب سنسور اکسیژن کیفیت ساخت بالا و مقاومت در برابر حرارت می باشد که باعث تاثیر مستقیم بر روی کاهش مصرف سوخت و کاهش چشمگیر آلاینده های زیست محیطی می باشد.,"https://dkstatics-public.digikala.com/digikala-products/7711c84f595c520a871abe619a34c884fb381647_1624353264.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/6a9afb0122ccb391751ca1cceec5056957139991_1624344561.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c0284e4fc831b8a9658239adfe1b8afe9917380e_1624344563.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c59af0cb951492123f317822dc5f1fb2f9cdb1bc_1624353266.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7711c84f595c520a871abe619a34c884fb381647_1624353264.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن خودرو ان جی کی مدل ساژم مناسب برای پراید,2200000,,"https://dkstatics-public.digikala.com/digikala-products/aeca8020e7b605c7f6420691d26e20ce8294ff9d_1701440326.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/55993cefd6f805f3697eadb5f0396f1c035586da_1701440325.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن ان تی کی مدل SuperSense مناسب برای پراید,1550000,توجه فرمایید: در صورتی که کالای دریافتی با تصاویر محصول مغایرت داشت مرجوع نمایید. متاسفانه اجناس تقلبی در بازار زیاد شده و ممکن است سودجویان از اطلاعات این محصول برای فروش کالاهای فیک استفاده نمایند. لذا اصالت سنسور اکسیژن NTK ژاپن فقط با جعبه موجود در تصویر تضمین می‌شود. محصول فوق جدیدترین نسل از سنسورهای اکسیژن ارائه‌شده توسط کارخانه مشهور ژاپنی NTK می‌باشد که از لحاظ ظاهری حجیم‌تر شده، آلیاژ و مواد اولیه آن ارتقا یافته و عملکرد آن بهتر شده است. درواقع زمان موردنیاز برای شروع کار آن از 15 ثانیه به 5 ثانیه رسیده یعنی بهبود 3 برابری در کاهش مصرف سوخت و افزایش شتاب خودرو. به همین خاطر نام نسل جدید این سنسور را SuperSense قرار داده‌اند.,"https://dkstatics-public.digikala.com/digikala-products/0b279ddd016d2e02636e1afe9368b05d84e2fe09_1755796217.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/3fd6ac532e681c1ad6bebf568f9c704df61d0161_1755796217.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d4183a0228564c99b2a9e26e45112e0b74a0dcee_1755796277.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c00e4cd628605287aec908ec95a2904ba42c1daa_1755796277.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن کروز پلاس مدل سیم کوتاه مناسب برای زیمنس,2180000,,"https://dkstatics-public.digikala.com/digikala-products/b16bbc5535916438681aee2b0e439f525246db40_1735933045.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/dcc22dc79ba1b310da27705bdfe5bc7fc1b8ec62_1735933044.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن مدل زیمنس مناسب برای پراید,1149000,این سنسور اکسیژن با استفاده از پیشرفته ترین فناوری در علم سرامیک تولید شده و در معتبر ترین آزمایشگاه های اروپا آیدی آدا در اسپانیا مورد تایید قرار گرفته است. این سنسور مطابق با استاندارد اروپایی E9 تولید شده و قابلیت استفاده برای موتور XU7 با سیستم کنترل الکترونیک زیمنس را نیز دارا میباشد. لازم به ذکر است که این سنسور مربوط به جایگاه قبل از کاتالیست با طول سیم کوتاه است. .,"https://dkstatics-public.digikala.com/digikala-products/4d5dca1e05d20f15d66eac783aff5f9cfc971fe7_1738182444.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/f5017212012837327907874919e00723d3e4c5e8_1738182448.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/8216a39b095400c8593d2f7448298d1ec1b5eddc_1738182454.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/4e47dff43c8c6d5460cec91afff8031edcc7e2f4_1738182458.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن فرانتک کد 412703 مناسب برای پراید,1340000,,"https://dkstatics-public.digikala.com/digikala-products/115011361.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/115011382.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/115011389.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/115011391.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/115011395.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن بوش مدل EF7,1900000,سنسور اکسیژن بوش معروفترین سنسور موجود در بازار لوازم خودرو برای خودروهای TU5 با ECU بوش می باشد و کیفیت کالا در صورت خریدن کالای اصلی دارای گرید A می باشد.یکی از نکات مهم زمان خرید این کالا انتخاب درست و مناسب کالا متناسب با ECU خودروی شما می باشد.,"https://dkstatics-public.digikala.com/digikala-products/8a78442d38b160c7f38213de50bb4fd7ba86e3b5_1724854158.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/8dc85633d5166b451f340ac1bc03cf1302d40bfe_1724854171.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن ایرکا مدل 24300209 مناسب برای پراید,2426000,سنسور اکسیژن ایرکا مدل 24300209 مناسب برای پراید ساژم و نیسان زامیاد حسگر اکسیژن در سیستم اگزوز گازهای خروجی تعبیه شده و به انژکتور و سیستم زمان بندی موتور اجازه می‌دهد تا به صورت بهینه کار کنند. عملکرد این سنسور در نهایت به سیستم کنترل میزان آلایندگی هم کمک می کند.,"https://dkstatics-public.digikala.com/digikala-products/31b48ca32a7a7ad7cc27a8f004699fadaecacc76_1668790742.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/18cd8d97341e2c91c5f76c57f570ff91c2c4bc19_1668790740.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/898956a795dcb5643c4cc2fc94b824b106eb37d5_1668790743.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/31b48ca32a7a7ad7cc27a8f004699fadaecacc76_1668790742.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
سنسور اکسیژن خودرو ان جی کی مدل ساژم مناسب برای 206 تیپ 2,2100000,,"https://dkstatics-public.digikala.com/digikala-products/aeca8020e7b605c7f6420691d26e20ce8294ff9d_1701441633.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/55993cefd6f805f3697eadb5f0396f1c035586da_1701441631.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
