title,price,description,main_image,images
شمع خودرو شمع نور مدل FR&DC2 بسته 4 عددی,691090,,"https://dkstatics-public.digikala.com/digikala-products/4890181.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/4802106.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/4970612.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/4890181.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a4bc7e93efe7a2c20702e8030dcc65ae41ac8a89_1756124810.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
شمع خودرو شمع نور مدل FR8DI30 بسته 4 عددی,1160000,,"https://dkstatics-public.digikala.com/digikala-products/119772472.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/119772515.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/119772518.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/119772472.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
شمع خودرو شمع نور مدل FR8DE مناسب برای خودروهای دوگانه سوز,530000,,"https://dkstatics-public.digikala.com/digikala-products/4905636.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/4808120.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
شمع خودرو شمع نور مدل FR8DE بسته 4 عددی,530000,,"https://dkstatics-public.digikala.com/digikala-products/a2cae3da8825870bde59e46479ddf37d40854dee_1643298557.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/92415b2fb66e2d551f7c36c63603d61eb155f55a_1643298557.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/88670e7bc28d4955e75be2f2f5213442f4cee203_1643298558.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/0f16f014352c6e2c40fcae9512047fc44d487966_1643298559.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
شمع خودرو ان جی کی ایریدیوم مدل ILFR6T11 بسته 4 عددی,3630000,,"https://dkstatics-public.digikala.com/digikala-products/ddd0dd6cceb5dfd24e3164dc91a2cf03f73ef320_1623101559.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/f9ea11a92ee1ea66a2e794988f02be6fe54dfc5b_1623101557.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/788c954216edf5ab20550ec6b1c8da68cb1c1124_1623101563.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/8dc26e6cfc443d409b46a18ab9034fba7a9ac6de_1623101565.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
شمع خودرو ان جی کی مدل دو پلاتین بسته 4 عددی,393000,,,[]
شمع خودرو اکیوم دو پلاتین مدل RFC42LZ2E بسته 4 عددی,346240,,"https://dkstatics-public.digikala.com/digikala-products/5184298.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5158361.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
شمع خودرو ان جی کی مدل ORG.Jpn کد BKR6E11 پایه کوتاه مناسب برای تیبا ، کوییک ، اطلس بسته ۴ عددی,660000,,"https://dkstatics-public.digikala.com/digikala-products/dddcbf04c1a017f598ba346054f83f5afa15bd26_1753819020.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/85fac60c5eae46623766ab8b277d4e29451c76ba_1753819005.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/b7240eba21263425e8a169584aff5efdb669abca_1753819007.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/f01b6722661f022e1061c66b6a35cf0043b81a6b_1753819009.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e15fe30601a0ec10a50ed9b3384d317a60b52bc8_1753819013.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/8151e7b3cc13fe712c1af6c6c000a35651c6ff4a_1753819017.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7a1fabaf1ded3c929bba2abb4e898c55e6f2b359_1753819017.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/36cb4e93f7ec83b5a9414514b68725888e9d1477_1753819024.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
شمع تقویتی خودرو بوش مدل سوزنی ایریدیوم کد Russia+42 پایه بلند مناسب برای پژو 206 تیپ 5 و 207 بسته 4 عددی,765000,,"https://dkstatics-public.digikala.com/digikala-products/6ac44c8d6bd849bfe719197f62b4b4b3fc32814b_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/eaf28905811a75b260ea72a2fd19673a967feafa_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/5c3eedadbea024a5e9e22014ff8eb2fd75108ee9_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/cfe148f916f74f00b5853b18c6e613a2c53cbf69_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/63408879f68fbda093eae775f30f28fb3677cb22_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/0b3c6f98269e03b02da9f1b03f23016b4275b54d_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/ac99e3eb3b3d8a225878d2675dc2f7d19b123884_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/539be0118f285e62f9dea9c7a4f30fee18229c2e_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/86536e959fb3fbd9eaba1d9f6bf5a14782d184e0_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
شمع خودرو دنسو مدل K20PR-U بسته4عددی,442000,,"https://dkstatics-public.digikala.com/digikala-products/3559527.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/3559632.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3559639.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3559643.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3559651.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3559876.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3559884.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3560151.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3560167.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3560171.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3630410.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3647248.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']"
