title,price,description,main_image,images
وایر شمع مدل تقویتی کد 2141 مناسب برای پژو 405 زیمنس مجموعه 4 عددی,147000,,"https://dkstatics-public.digikala.com/digikala-products/bde870f4204f9229b64c2d1da4ccf06279315b8b_1638296841.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/7212e601404fc345e002df33f90239ef6b481cb1_1638296830.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bde870f4204f9229b64c2d1da4ccf06279315b8b_1638296841.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایر شمع تقویتی خودرو ان جی کی کد 05 مناسب برای پژو 405 بسته 4 عددی,356000,,"https://dkstatics-public.digikala.com/digikala-products/a8e21b43cd9c696bf662f387f0daf5e65d09caa0_1699946510.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5525a3b41f695bab8688c2c9afed337e35a00da2_1699810257.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a8e21b43cd9c696bf662f387f0daf5e65d09caa0_1699946510.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایر شمع خودرو والئو مدل زیمنس مناسب برای پراید بسته 4 عددی,230000,,"https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/ed21226c603e4eb3a2c592149e5b793d51790e37_1694201094.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', '/statics/img/png/voucher/discount-voucher.webp']"
وایر شمع تقویتی ان جی کی مدل NGK204q مناسب برای کوییک و ساینا بسته 4 عددی,338220,وایر شمع تقویتی NGK از کابل سیلیکونی استاندارد با مغزی دو رشته بوبین پیچ ساخته شده است. این وایر شمع با جرقه‌زنی و احتراق عالی، مصرف سوخت را کاهش داده و شتاب خودرو را افزایش می‌دهد. همچنین استارت راحتی را در فصل سرما فراهم کرده و دارای مقاومت الکتریکی پایین است. این محصول برای انواع خودروهای کوئیک و ساینا مناسب می‌باشد.,"https://dkstatics-public.digikala.com/digikala-products/a112a820073cc116584deb97b704a8a1c3408bac_1740235094.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/77bf86f47c69aec76282f529b239a9e00aa31481_1740235113.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a112a820073cc116584deb97b704a8a1c3408bac_1740235094.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایر شمع تقویتی خودرو ان جی کی کد NGK03 مناسب برای پراید زیمنس دوگانه سوز بسته 4 عددی,340000,,"https://dkstatics-public.digikala.com/digikala-products/feaef7da9554bdd0fb9cdc8e96829142625d9194_1729329582.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/48aa9a77c6cc47f750522b40c2605fc095939388_1729329581.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e4cc4042c5c6a4a6394f61551ec1359af348aec6_1729329585.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/feaef7da9554bdd0fb9cdc8e96829142625d9194_1729329582.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایر شمع تقویتی سانکو مدل P0105 مناسب برای پراید بسته 4 عددی,330000,مقاومت صفر و 9 میل دارد. این وایر با هسته 5 رشته ای و روکش ضد نویز میباشد،،گیره های اتصال با کیفیت و روکش آن از سیلکون خالص میباشد،این وایر دارای کارکرد و دوام بالا است، سیم آن دارای مقاومت پایین با هسته خاص تقویتی میباشد,"https://dkstatics-public.digikala.com/digikala-products/a7c05359ebee84aed1b07a36de2ac1b0cb9b0217_1627145338.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/ecb6838d9234ba954a41ddefdcc806956e3a9483_1627297930.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a7c05359ebee84aed1b07a36de2ac1b0cb9b0217_1627145338.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایر شمع تقویتی مدل 2022 مناسب برای پراید زیمنس مجموعه 4 عددی,165090,,"https://dkstatics-public.digikala.com/digikala-products/b1327f10b5fef04181534326857de4b96434c9e4_1645474364.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/80e06462da5fd35a76b360bf598b69d1263285da_1645474590.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/b1327f10b5fef04181534326857de4b96434c9e4_1645474364.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایر شمع تقویتی خودرو کد 67 بسته 4 عددی,153500,این وایرها با جنس سیلیکونی، دارای مقاومت گرمایی بسیار بالا هست که باعث زیاد بودن طول عمر وایر نسبت به نمونه های فابریک و معمولی میشود و وایرهای تقویتی بر خلاف وایرهای استاندارد و حتی معروف موجود در بازار دارای اهم صفر و نویزگیری شده هست یعنی هیچ مقاومتی در برابر انتقال جریان برق ندارد که این کار باعث افزایش راندمان و نرم کار کردن خودرو میشود.(طول عمر مفید این وایرها 120هزار کیلومتر میباشد.),"https://dkstatics-public.digikala.com/digikala-products/018665b662a34b76605931ff6f5e446970be2890_1639549130.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/3cc59fcab54a6687f2899f77d33de6869b1469cd_1639495948.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/85b41a70bc9b021b4f9a13c463051a2184ccde22_1639496109.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/8583009e23900f75a341231d6e1b51681ea7b619_1639513292.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/018665b662a34b76605931ff6f5e446970be2890_1639549130.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایر شمع تقویتی خودرو ان جی کی کد 100 مناسب برای تیبا بسته 4 عددی,360000,,"https://dkstatics-public.digikala.com/digikala-products/9f702f72a32f4a5727258cb1d7de9e7e215c0fbc_1699946662.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5525a3b41f695bab8688c2c9afed337e35a00da2_1699810572.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/9f702f72a32f4a5727258cb1d7de9e7e215c0fbc_1699946662.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
وایرشمع سانکوه مدل p0826 مناسب پژو سمند پارس بسته ۴ عددی,360000,وایر شمع تقویت شده سانکوه به جرات میشه گفت یکی از بی رقیب ترین کالای بازار که با ۹ میل ضخامت و سر برنجی و مقاومت صفر می باشد مناسب برای ماشین های مسابقه ای و خودروهای دوگانه سوز می باشد,"https://dkstatics-public.digikala.com/digikala-products/4b66e2a905b764ab2d75ba21e565b247c0994b58_1626964636.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/48d6ec64c6cebcf52fa2f959bd2fe63af7ebf517_1626797211.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a707af2cb44aaaf3de595956859b59dccbb3c837_1626942724.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/4b66e2a905b764ab2d75ba21e565b247c0994b58_1626964636.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d6ecb8346ba18334ae6724610acf8eb53174cfee_1694257790.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']"
